examQuestionId,examId,section,module,route,questionNumber,examSequence,difficulty,responseType,questionText,answer,pictureKey,contentDomain,officialSkill,teachingTopic,answerExplanation,distractorRationale,passageWordCount,estimatedTimeSeconds,autoQAScore,reviewStatus,originalQuestionId,originalMockExam,originalRoute,sourceSimilarityMax,internalSimilarityMax,qaAnswerCheck,qaBlueprintMatch,sourceOutlineUrl,authoringNote
SAT_MOCK_EXAM_2-RW-M1-Q11,sat_mock_exam_2,Reading and Writing,M1,Common,11,11,Medium,Multiple Choice,"A team working in museum studies investigated museum audio guides at several locations. Across the locations, visitors using brief thematic guides recalled more connections among exhibits. Although the strength of the pattern varied, it appeared in each location, suggesting that the result was not limited to a single site. Which choice best states the main idea of the text?
A) Researchers proved that every feature of museum audio guides is identical at all locations.
B) A study found no meaningful pattern involving museum audio guides.
C) A multisite study of museum audio guides found a recurring pattern, though the pattern’s strength differed by location.
D) Researchers studied museum audio guides at only one location and warned against comparison.",C,,Information and Ideas,Central Ideas and Details,识别主旨、核心观点和最恰当概括,The correct choice captures both the repeated result and the stated variation across locations.,"The distractors contradict the passage by claiming no pattern, a single site, or complete uniformity.",59,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q11,Mock B,Common,0,0.323,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q12,sat_mock_exam_2,Reading and Writing,M1,Common,12,12,Medium,Multiple Choice,"A researcher claims that a particular design feature can materially influence outcomes involving digital manuscript scans. Which finding, if true, would most directly support the researcher’s claim?
A) Participants reported that they had heard of digital manuscript scans before the study.
B) The study’s locations differed in age, but the feature was not recorded.
C) Researchers used the same data-entry software at every location.
D) When the feature was present, multispectral images revealed ink hidden beneath later annotations; when it was absent, that pattern was substantially weaker.",D,,Information and Ideas,Command of Evidence - Textual,选择最能支持某项结论的文本证据,"The correct choice directly compares outcomes with and without the design feature, isolating the relationship described in the claim.","The other findings concern familiarity, site age, or data entry and therefore do not directly test the claimed influence.",27,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q12,Mock B,Common,0.065,0.548,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q13,sat_mock_exam_2,Reading and Writing,M1,Common,13,13,Medium,Multiple Choice,"Researchers studying mobile produce markets collected data during both routine conditions and unusually demanding conditions. During routine conditions, the groups differed little. During demanding conditions, however, weekly stops increased fresh-food purchases in neighborhoods far from supermarkets. The researchers did not change any other part of the procedure. Which choice most logically completes the text?
A) The factor associated with the finding may matter more under demanding conditions than under routine conditions.
B) The groups must have been measured with entirely different procedures.
C) The finding demonstrates that routine conditions never affect any outcome.
D) The researchers should assume that the factor has exactly the same effect in all conditions.",A,,Information and Ideas,Inferences,根据文本证据作合理推断,The contrast between similar routine results and different demanding-condition results supports a condition-dependent inference.,The distractors contradict the controlled procedure or make absolute claims not supported by the passage.,54,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q13,Mock B,Common,0,0.4,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q14,sat_mock_exam_2,Reading and Writing,M1,Common,14,14,Medium,Multiple Choice,"Researchers studying ceramic water filters collected data during both routine conditions and unusually demanding conditions. During routine conditions, the groups differed little. During demanding conditions, however, filters made with finer clay removed more sediment but slowed flow. The researchers did not change any other part of the procedure. Which choice most logically completes the text?
A) The groups must have been measured with entirely different procedures.
B) The factor associated with the finding may matter more under demanding conditions than under routine conditions.
C) The finding demonstrates that routine conditions never affect any outcome.
D) The researchers should assume that the factor has exactly the same effect in all conditions.",B,,Information and Ideas,Inferences,根据文本证据作合理推断,The contrast between similar routine results and different demanding-condition results supports a condition-dependent inference.,The distractors contradict the controlled procedure or make absolute claims not supported by the passage.,55,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q14,Mock B,Common,0,0.4,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q15,sat_mock_exam_2,Reading and Writing,M1,Common,15,15,Hard,Multiple Choice,"A researcher claims that a particular design feature can materially influence outcomes involving bilingual street signs. Which finding, if true, would most directly support the researcher’s claim?
A) Participants reported that they had heard of bilingual street signs before the study.
B) The study’s locations differed in age, but the feature was not recorded.
C) When the feature was present, residents navigated unfamiliar districts more accurately when both languages appeared; when it was absent, that pattern was substantially weaker.
D) Researchers used the same data-entry software at every location.",C,,Information and Ideas,Command of Evidence - Textual,选择最能支持某项结论的文本证据,"The correct choice directly compares outcomes with and without the design feature, isolating the relationship described in the claim.","The other findings concern familiarity, site age, or data entry and therefore do not directly test the claimed influence.",27,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q15,Mock B,Common,0.065,0.548,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q16,sat_mock_exam_2,Reading and Writing,M1,Common,16,16,Easy,Multiple Choice,"The research team tested museum audio guides at four locations ______ and the same pattern appeared at every location. Which choice completes the text so that it conforms to the conventions of Standard English?
A) ;
B) :
C) , but
D) ,",D,,Standard English Conventions,Boundaries,句子边界与标点使用,A comma before the coordinating conjunction “and” correctly joins two independent clauses.,The distractors misuse punctuation before the coordinating conjunction.,34,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q16,Mock B,Common,0,0.35,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q17,sat_mock_exam_2,Reading and Writing,M1,Common,17,17,Easy,Multiple Choice,"When comparing two prototypes for monitoring handwoven textiles, the newer model’s energy use was lower than ______. Which choice completes the text so that it conforms to the conventions of Standard English?
A) that of the older model
B) the older model
C) it was older
D) those of the older model",A,,Standard English Conventions,"Form, Structure, and Sense",语法形式、结构与语意,"The comparison must be between energy use and energy use, so “that of” is required.","The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",32,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q17,Mock B,Common,0,0.368,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q18,sat_mock_exam_2,Reading and Writing,M1,Common,18,18,Medium,Multiple Choice,"The instrument used to study night-blooming flowers has a primary component ______ that can be replaced without special tools. Which choice completes the text so that it conforms to the conventions of Standard English?
A) a thin ceramic membrane,
B) , a thin ceramic membrane,
C) : a thin ceramic membrane;
D) —a thin ceramic membrane,",B,,Standard English Conventions,Boundaries,句子边界与标点使用,The appositive is nonessential and must be set off with matching commas.,The distractors use unmatched or inappropriate punctuation.,34,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q18,Mock B,Common,0,0.364,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q19,sat_mock_exam_2,Reading and Writing,M1,Common,19,19,Medium,Multiple Choice,"The survey revealed one especially consistent result ______ searchable transcripts increased use of interviews by local teachers. Which choice completes the text so that it conforms to the conventions of Standard English?
A) ,
B) ;
C) :
D)  although",C,,Standard English Conventions,Boundaries,句子边界与标点使用,A colon can follow a complete clause to introduce the result that explains it.,A comma or semicolon does not correctly introduce the explanatory phrase as written.,32,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q19,Mock B,Common,0,0.15,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q20,sat_mock_exam_2,Reading and Writing,M1,Common,20,20,Medium,Multiple Choice,"Covered with a protective coating before the study of rooftop gardens, ______. Which choice completes the text so that it conforms to the conventions of Standard English?
A) the technicians transported the samples safely
B) transport caused no damage to the technicians
C) there was no damage during the samples’ transport
D) the samples remained undamaged during transport",D,,Standard English Conventions,"Form, Structure, and Sense",语法形式、结构与语意,The noun immediately following the introductory modifier must be the thing covered: the samples.,"The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",27,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q20,Mock B,Common,0,0.5,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q21,sat_mock_exam_2,Reading and Writing,M1,Common,21,21,Hard,Multiple Choice,"After the researchers recalibrated the sensors ______ they repeated all measurements involving recycled glass concrete. Which choice completes the text so that it conforms to the conventions of Standard English?
A) ,
B) ;
C) :
D) —",A,,Standard English Conventions,Boundaries,句子边界与标点使用,A comma follows the introductory dependent clause.,The other choices either omit required punctuation or separate the dependent clause incorrectly.,30,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q21,Mock B,Common,0,0.538,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q22,sat_mock_exam_2,Reading and Writing,M1,Common,22,22,Hard,Multiple Choice,"Each researcher recorded ______ observations of traditional courtyard homes in the shared database before leaving the site. Which choice completes the text so that it conforms to the conventions of Standard English?
A) its
B) their
C) our
D) your",B,,Standard English Conventions,"Form, Structure, and Sense",语法形式、结构与语意,The singular “their” appropriately refers to the gender-neutral antecedent “Each researcher.”,"The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",32,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q22,Mock B,Common,0,0.278,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q23,sat_mock_exam_2,Reading and Writing,M1,Common,23,23,Easy,Multiple Choice,"While researching a topic, a student has taken the following notes:
• A 2020 study in climate history examined ice-core bubbles.
• The study included 18 sites.
• It found that trapped gases preserved evidence of past atmospheric composition.
• The student wants to emphasize both the scope and the principal finding of the study.
Which choice most effectively uses relevant information from the notes to accomplish the goal?
A) In 2020, researchers conducted a study, but the number of sites is not known.
B) Researchers in climate history have studied many topics, including some unrelated to ice-core bubbles.
C) A 2020 study of ice-core bubbles across 18 sites found that trapped gases preserved evidence of past atmospheric composition.
D) The 2020 study included 18 sites; however, its finding about ice-core bubbles was the opposite of what the notes report.",C,,Expression of Ideas,Rhetorical Synthesis,根据写作目标筛选并综合笔记信息,The correct choice accurately combines the study’s scope and its principal finding in one concise sentence.,"The distractors omit required information, add irrelevant content, or contradict the notes.",65,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q23,Mock B,Common,0.08,0.315,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q24,sat_mock_exam_2,Reading and Writing,M1,Common,24,24,Medium,Multiple Choice,"While researching a topic, a student has taken the following notes:
• A 2021 study in museum studies examined museum audio guides.
• The study included 6 sites.
• It found that visitors using brief thematic guides recalled more connections among exhibits.
• The student wants to emphasize both the scope and the principal finding of the study.
Which choice most effectively uses relevant information from the notes to accomplish the goal?
A) In 2021, researchers conducted a study, but the number of sites is not known.
B) Researchers in museum studies have studied many topics, including some unrelated to museum audio guides.
C) The 2021 study included 6 sites; however, its finding about museum audio guides was the opposite of what the notes report.
D) A 2021 study of museum audio guides across 6 sites found that visitors using brief thematic guides recalled more connections among exhibits.",D,,Expression of Ideas,Rhetorical Synthesis,根据写作目标筛选并综合笔记信息,The correct choice accurately combines the study’s scope and its principal finding in one concise sentence.,"The distractors omit required information, add irrelevant content, or contradict the notes.",68,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q24,Mock B,Common,0.079,0.307,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q25,sat_mock_exam_2,Reading and Writing,M1,Common,25,25,Medium,Multiple Choice,"The poet first describes the harbor at dawn. ______, she turns to memories associated with the departing ships. Which choice completes the text with the most logical transition?
A) Then
B) Thus
C) Conversely
D) Indeed",A,,Expression of Ideas,Transitions,根据逻辑关系选择过渡词,Then indicates sequence.,The distractors signal a different logical relationship from the one between the two sentences.,28,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q25,Mock B,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q26,sat_mock_exam_2,Reading and Writing,M1,Common,26,26,Hard,Multiple Choice,"While researching a topic, a student has taken the following notes:
• A 2022 study in marine biology examined coral nursery frames.
• The study included 9 sites.
• It found that juvenile corals grew fastest on frames placed in steady currents.
• The student wants to emphasize both the scope and the principal finding of the study.
Which choice most effectively uses relevant information from the notes to accomplish the goal?
A) In 2022, researchers conducted a study, but the number of sites is not known.
B) A 2022 study of coral nursery frames across 9 sites found that juvenile corals grew fastest on frames placed in steady currents.
C) Researchers in marine biology have studied many topics, including some unrelated to coral nursery frames.
D) The 2022 study included 9 sites; however, its finding about coral nursery frames was the opposite of what the notes report.",B,,Expression of Ideas,Rhetorical Synthesis,根据写作目标筛选并综合笔记信息,The correct choice accurately combines the study’s scope and its principal finding in one concise sentence.,"The distractors omit required information, add irrelevant content, or contradict the notes.",68,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q26,Mock B,Common,0.079,0.303,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M1-Q27,sat_mock_exam_2,Reading and Writing,M1,Common,27,27,Hard,Multiple Choice,"The model performs well on common bird calls. ______, recordings of rare species remain difficult to classify. Which choice completes the text with the most logical transition?
A) Accordingly
B) For instance
C) By contrast
D) Likewise",C,,Expression of Ideas,Transitions,根据逻辑关系选择过渡词,By contrast compares strong and weak performance.,The distractors signal a different logical relationship from the one between the two sentences.,27,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M1-Q27,Mock B,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_2-RW-M2-Q01,sat_mock_exam_2,Reading and Writing,M2,Harder,1,28,Easy,Multiple Choice,"A research team studying traditional courtyard homes reported that central courtyards promoted air circulation during hot afternoons. The researchers designed a second trial to _______ a possible alternative explanation. Which choice completes the text with the most logical and precise word or phrase?
A) exclude
B) promote
C) summarize
D) repeat",A,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “exclude”: exclude means rule out.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,43,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-B-RW-M2H-Q01,Mock B,Harder,0,0.092,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
