questionId,questionText,answer,pictureKey,section,contentDomain,officialSkill,teachingTopic,explanation,difficulty,sourceType,sourceUrl
SAT-QB-82b7c3b2,"The following text is from Booth Tarkington's 1921 novel Alice Adams. Mrs. Adams had always been fond of vases, she said, and every year her husband's Christmas present to her was a vase of one sort or another-whatever the clerk showed him, marked at about twelve or fourteen dollars. As used in the text, what does the word ""marked"" most nearly mean?
A) Staged
B) Priced
C) Stained
D) Watched",B,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-84ece3f6,"The following text is adapted from Nathaniel Hawthorne's 1844 short story ""Drowne's Wooden Image."" Drowne, a young man, is carving a wooden figure to decorate the front of a ship. Day by day, the work assumed greater precision, and settled its irregular and misty outline into distincter grace and beauty. The general design was now obvious to the common eye. As used in the text, what does the word ""assumed"" most nearly mean?
A) Acquired
B) Acknowledged
C) Imitated
D) Speculated",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-84f9b577,"The following text is from Jhumpa Lahiris 2003 novel The Namesake. Gogol, a child, is at a beach in Massachusetts with his father. On the beach Gogol collects rocks, digs tunnels in the sand. He and his father wander barefoot, their pant legs rolled halfway up their calves. ©2003 by Jhumpa Lahiri As used in the text, what does the word ""collects"" most nearly mean?
A) Increases
B) Makes
C) Ignores
D) Gathers",D,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-9671d61d,"The following text is from Claude McKay's 1922 poem ""Morning Joy."" The speaker is looking out a window and observing a wold, or large area of land. At night the wide and level stretch of wold, Which at high noon had basked in quiet gold, Far as the eye could see was ghostly white; Dark was the night save for the snow's weird light. I drew the shades far down, crept into bed; Hearing the cold wind moaning overhead Through the sad pines, my soul, catching its pain, Went sorrowing with it across the plain. As used in the text, what does the word ""drew"" most nearly mean?
A) Pulled
B) Drained
C) Inspired
D) Sketched",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-9aa44886,"The following text is from F. Scott Fitzgerald's 1925 novel The Great Gatsby. [Jay Gatsby] was balancing himself on the dashboard of his car with that resourcefulness of movement that is so peculiarly American-that comes, I suppose, with the absence of lifting work in youth and, even more, with the formless grace of our nervous, sporadic games. This quality, was continually breaking through his punctilious manner in the shape of restlessness. As used in the text, what does the word ""quality"" most nearly mean?
A) Standard
B) Prestige
C) Characteristic
D) Accomplishment",C,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-9b22bf7b,"The following text is from the 1989 novel The Ancient Child by Kiowa writer N. Scott Momaday. The main character has achieved tremendous commercial success as a painter. More and more often he was asked to compromise his art or himself in one way or another, and more often than not he did so, for he was inclined to be passive and naive; it was difficult for him to say no. Those who exhibited his work, who praised and purchased it, and who demanded its proliferation began to determine it. 01989 by N. Scott Momaday As used in the text, what does the word ""determine"" most nearly mean?
A) Conclude
B) Dictate
C) Evaluate
D) Select",B,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 3.pdf
SAT-QB-9ccf463e,"The following text is from Nella Larsen's 1928 novel Quicksand. The trees in their spring beauty sent through her restive mind a sharp thrill of pleasure. Seductive, charming, and beckoning as cities were, they had not this easy unhuman loveliness. As used in the text, what does the word ""beckoning"" most nearly mean?
A) Demanding
B) Signaling
C) Inviting
D) Shifting",C,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-aa7ae735,"The following text is adapted from Mohsin Hamid's 2017 novel Exit West. Saeed lives with his mother and father. On cloudless nights after a daytime rain, Saeed's father would sometimes bring out the telescope, and the family would sip green tea on their balcony, enjoying a breeze, and take turns to look up at objects whose light, often, had been emitted before any of these three viewers had been born-light from other centuries, only now reaching Earth. © 2017 by Mohsin Hamid As used in the text, what does the word ""reaching"" most nearly mean?
A) Arriving at
B) Consulting with
C) Running to
D) Clinging to",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-ab1bd603,"The following text is adapted from Upton Sinclair's 1906 novel The Jungle. Marija is helping to manage her sister's wedding. It was [Marija's] task to see that all things went in due form, and after the best home traditions; and, flying wildly hither and thither, bowling every one out of the way, and scolding and exhorting all day with her tremendous voice, Marija was too eager to see that others conformed to the proprieties to consider them herself. As used in the text, what does the word ""consider"" most nearly mean?
A) Take into account and follow
B) Admire steadily and praise
C) Come to a decision about
D) Have an opinion on",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-ba974387,"The following text is adapted from Mary Seacole's 1857 autobiography Wonderful Adventures of Mrs. Seacole in Many Lands. That journey across the Isthmus lof Panama], insignificant in distance as it was, was by no means an easy one. It seemed as if nature had determined to throw every conceivable obstacle in the way of those who should seek to join the two great oceans of the world. As used in the text, what does the word ""conceivable"" most nearly mean?
A) Obvious
B) Imaginable
C) Straightforward
D) Uninterrupted",B,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-e3ffb854,"The following text is adapted from John Matheus's 1925 short story ""Fog."" The fog extended its tentacles over city and river, gradually obliterating traces of familiar landscapes. At five-thirty the old Panhandle bridge, supported by massive sandstone pillars, stalwart, as when erected fifty years before to serve a generation now passed behind the portals of life, had become a spectral outline against the sky. As used in the text, what does the word ""supported"" most nearly mean?
A) Held up
B) Encouraged
C) Improved on
D) Defended",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-e459076b,"The following text is adapted from George Eliot's 1871-72 novel Middlemarch. [Mr. Brooke] had travelled in his younger years, and was held in this part of the country to have contracted a too rambling habit of mind. Mr. Brooke's conclusions were as difficult to predict as the weather. As used in the text, what does the word ""contracted"" most nearly mean?
A) Restricted
B) Described
C) Developed
D) Settled",C,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 3.pdf
SAT-QB-edd64a4a,"The following text is adapted from Charles Chesnutt's 1899 story ""The Wife of His Youth."" Mr. Ryder is hosting a formal gathering where he will propose marriage to the woman he has been courting. [A] younger and less cautious man would long since have spoken. But he had made up his mind, and had only to determine the time when he would ask her to be his wife. He decided to give a ball in her honor, and at some time during the evening of the ball to offer her his heart and hand. As used in the text, what does the word ""determine"" most nearly mean?
A) Choose
B) Influence
C) Demonstrate
D) Measure",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-PT05-RW-M1-Q01,"The following text is from the 1913 story “The King’s Coin” by Emily Pauline Johnson, a Kanienkahagen (Mohawk) writer also known as Tekahionwake. Fox-Foot, a young Ojibwe man, is guiding a group of fur traders who are traveling by canoe and suspects that they are being followed. At supper time, Fox-Foot would allow no fire to be built, no landing to be made, no trace of their passing to be left. They ate canned meat and marmalade, drank again of the stream and pushed on, until just at dusk they reached the edge of a long, still lake, with shores of granite and dense fir forest. As used in the text, what does the word “trace” most nearly mean? 
A) Evidence 
B) Blemish 
C) Amount 
D) Sketch",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Practice-Test,
SAT-PT07-RW-M2-Q01,"Taking photographs in the mid-1800s was complicated and expensive, but this changed with the 1854 invention of the carte de visite, a small photo that cost little to make. Carte de visite photos helped to _______ photography: they made it easy and enjoyable for everyday people to have their pictures taken, and people at the time loved exchanging these small photos with friends and family. Which choice completes the text with the most logical and precise word or phrase? 
A) weaken 
B) praise 
C) popularize 
D) isolate",C,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Practice-Test,
SAT-PT08-RW-M2-Q01,"Art scholars have noted that some colors seem to be more _______ viewers than others. For example, people tend to find paintings featuring blues and greens more appealing than paintings featuring yellows and oranges. Which choice completes the text with the most logical and precise word or phrase? 
A) confusing for 
B) attractive to 
C) corrected by 
D) similar to",B,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Practice-Test,
SAT-ORG-GAP-0001,"In the passage, the researcher calls the pattern 'sporadic,' noting that it appeared on only a few widely separated days. As used in the text, what does 'sporadic' most nearly mean?
A) Occasional and irregular
B) Continuous and predictable
C) Rapidly increasing
D) Carefully planned",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,A is correct. The explanation after the word describes events that occur irregularly and only from time to time.,Easy,Original-GapFill,
SAT-ORG-GAP-0002,"The curator describes the surviving sketches as 'rudimentary': they show the basic arrangement of the mural but contain little detail. As used in the text, what does 'rudimentary' most nearly mean?
A) Highly polished
B) Basic and undeveloped
C) Historically disputed
D) Colorfully decorated",B,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,B is correct. The sketches contain only the basic arrangement and little detail.,Medium,Original-GapFill,
SAT-ORG-GAP-0003,"The engineer says the material is 'resilient' because it returns to its original shape after being compressed. As used in the text, what does 'resilient' most nearly mean?
A) Likely to dissolve in water
B) Difficult to manufacture
C) Able to recover after pressure
D) Unable to bend",C,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,C is correct. Returning to the original shape after compression directly defines resilience.,Hard,Original-GapFill,
SAT-ORG-GAP-0004,"The review calls the essay 'lucid,' praising the writer for explaining a complicated theory in language that is easy to follow. As used in the text, what does 'lucid' most nearly mean?
A) Lengthy
B) Humorous
C) Uncertain
D) Clear",D,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,D is correct. The context emphasizes that the explanation is easy to follow.,Easy,Original-GapFill,
SAT-QB-03f5a9b7,"When marine biologist Brittany Williams played different ocean recordings to groups of oyster larvae, groups that heard - They were twice as likely as other groups to show signs of making a sounds of a healthy oyster reef were the most. permanent home. This suggests that playing recordings of a healthy ocean reef may encourage oysters to create such a reef. Which choice completes the text with the most logical and precise word or phrase?
A) responsive
B) inactive
C) liked
D) distressed",A,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-06b96bfc,"A musician and member of the Quechua of Peru, Renata Flores Rivera was eager to promote the Quechua language in her music, but she was _ speaking it. She met this challenge by asking her grandmother, a native speaker of Quechua, to help her pronounce words in her song lyrics and also by taking classes in the language. Which choice completes the text with the most logical and precise word or phrase?
A) prepared for
B) inexperienced with
C) skilled in
D) excited about",B,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-0d402146,"US traffic signals didn't always contain the familiar three lights (red, yellow, and green). Traffic lights only. red and green lights until the three-light traffic signal was developed in the 1920s. Which choice completes the text with the most logical and precise word or phrase?
A) avoided
B) featured
C) appreciated
D) disregarded",B,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-0ee67e09,"Anthropologist Kristian J. Carlson and colleagues examined the fossilized clavicle and shoulder bones of a 3.6- million-year-old early hominin known as ""Little Foot."" They found that these bones were. the clavicle and shoulder bones of modern apes that are frequent climbers, such as gorillas and chimpanzees, suggesting that Little Foot had adapted to life in the trees. Which choice completes the text with the most logical and precise word or phrase?
A) surpassed by
B) comparable to
C) independent of
D) obtained from",B,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-10c236ce,"Text corpora such as the Bank of English are enormous collections of electronically stored texts that can be used for empirical testing of hypotheses regarding the frequency of typical word usage. If one has a _ that the word ""get"" has a high incidence in English, for example, an analysis of a corpus can support that hypothesis by showing that ""get"" is the fifth most commonly used verb. Which choice completes the text with the most logical and precise word or phrase?
A) recognition
B) scheme
C) supposition
D) synopsis",C,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 3.pdf
SAT-QB-1374a9fa,"Austin McCoy has argued that historians have tended to rank-and-file workers in analyses of changes in organized labor in the United States in the decades following the Second World War, presenting political, business, and labor leaders as the major actors and ordinary workers as nearly devoid of agency. Which choice completes the text with the most logical and precise word or phrase?
A) epitomize
B) marginalize
C) extol
D) substantiate",B,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-1fa751f1,"Handedness, a preferential use of either the right or left hand, typically is easy to observe in humans. Because this trait is present but less. in many other animals, animal-behavior researchers often employ tasks specially designed to reveal individual animals' preferences for a certain hand or paw. Which choice completes the text with the most logical and precise word or phrase?
A) recognizable
B) intriguing
C) significant
D) useful",A,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-1fbf276a,"Interruptions in the supply chain for microchips used in personal electronics have challenged an economist's assertion that retailers can expect robust growth in sales of those devices in the coming months. The delays are unlikely to her projection entirely but will almost certainly extend its time frame. Which choice completes the text with the most logical and precise word or phrase?
A) dispute
B) withdraw
C) underscore
D) invalidate",D,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-22a41819,"Rejecting the premise that the literary magazine Ebony and Topaz (1927) should present a unified vision of Black American identity, editor Charles S. Johnson fostered his contributors' diverse perspectives by promoting their authorial autonomy. Johnson's self-effacement diverged from the editorial stances of W.E.B. Du Bois and Alain Locke, whose decisions for their publications were more _______ Which choice completes the text with the most logical and precise word or phrase?
A) proficient
B) dogmatic
C) ambiguous
D) unpretentious",B,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 3.pdf
SAT-QB-2390e956,"Ronyoung Kim creatively captures the Korean American immigrant experience in her novel Clay Walls by writing about a family from three perspectives. The first section of the novel is from the mother Haesu's perspective, the second is from the father Chun's perspective, and the last is from the daughter Faye's perspective. Which choice completes the text with the most logical and precise word?
A) distinct
B) required
C) unintended
D) unknown",A,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-35fd0eb4,"The discoverers of the minor planet 1227 Geranium named it after the plant genus that includes cranesbills. Most of the recently discovered minor planets, however, are given only an identification number, largely due to there being over 500,000 such bodies known at present, which makes the already challenging task of finding a unique name for each nearly — _______ Which choice completes the text with the most logical and precise word or phrase?
A) insurmountable
B) feasible
C) substantial
D) unnecessary",A,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-3d658a5a,"Some foraging models predict that the distance bees travel when foraging will decline as floral density increases, but biologists Shalene Jha and Claire Kremen showed that bees' behavior is inconsistent with this prediction if _: bees will forage beyond patches of low species richness to acquire multiple flowers in dense patches are _ resource types. Which choice completes the text with the most logical and precise word or phrase?
A) depleted
B) homogeneous
C) immature
D) dispersed",B,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 3.pdf
SAT-QB-3f753a8e,"Investigating whether shared false visual memories-specific but inaccurate and widely held recollections of images such as product logos-are caused by people's previous incorrect renditions of the images, researchers Deepasri Prasad and Wilma Bainbridge found that, in fact, such memories are often not explained by familiarity with erroneous versions of the images. Which choice completes the text with the most logical and precise word or phrase?
A) compliance with
B) exposure to
C) criteria for
D) forfeiture of",B,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 3.pdf
SAT-QB-428cd2c1,"Some people have speculated that two helmets with attached horns discovered in Denmark in 1942 belonged to Vikings, but scholars have long been skeptical. Archaeologist Helle Vandkilde and colleagues recently provided radiocarbon dates for the helmets, and their findings _ scholars' skepticism: the helmets date to the Nordic Bronze Age, centuries before the Vikings existed. Which choice completes the text with the most logical and precise word or phrase?
A) anticipate
B) inspect
C) reveal
D) justify",D,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-44cc5f75,"Artificially delivering biomolecules to plant cells is an important component of protecting plants from pathogens, but it is difficult to transmit biomolecules through the layers of the plant cell wall. Markita del Carpio Landry and her colleagues have shown that it may be possible to _ this problem by transmitting molecules through carbon nanotubes, which can cross cell walls. Which choice completes the text with the most logical and precise word or phrase?
A) conceptualize
B) neglect
C) illustrate
D) overcome",D,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-47955354,"Sumerian civilization (which lasted from around 3300 to 2000 BCE) — _ many concepts that persist into present-day civilizations: for example, the first description of the seven-day week appears in the Sumerian Epic of Gilgamesh. Which choice completes the text with the most logical and precise word or phrase?
A) transformed
B) introduced
C) inherited
D) overlooked",B,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-4a2b2535,"A brief book review cannot fully convey the _ of Olga Tokarczuk's novel The Books of Jacob, with its enormous cast of characters, its complicated, wandering plot, and its page numbers that count backward (beginning at 965 and ending at 1). Which choice completes the text with the most logical and precise word or phrase?
A) accuracy
B) inactivıty
C) complexity
D) restraint",C,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-4b54bbf0,"In the 2010s, the price of pop music cassette tapes from the 1980s and 1990s rose dramatically, which had the counterintuitive effect of ____ demand: buyers who hadn't previously wanted to purchase vintage cassettes thronged the market, believing prices would continue to rise and the tapes could be resold later at a profit. Which choice completes the text with the most logical and precise word or phrase?
A) exploiting
B) monetizing
C) appraising
D) engendering",D,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 3.pdf
SAT-QB-4d1a9c0d,"Following the principles of community-based participatory research, tribal nations and research institutions are equal partners in health studies conducted on reservations. A collaboration between the Crow Tribe and Montana this model: tribal citizens worked alongside scientists to design the methodology and State University continue to assist in data collection. Which choice completes the text with the most logical and precise word or phrase?
A) circumvents
B) eclipses
C) fabricates
D) exemplifies",D,,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
