id,section,domain,skill,atomic_topic_zh,atomic_topic_en,title,strategy_name,video_url,cover_url
sat-rw-027,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",代词指代、一致性和格,"Pronoun reference, agreement, and case",Match Pronouns to Antecedents,Pronoun-Target Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-027/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-027/cover.png
sat-rw-028,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",修饰语位置与逻辑主语,Placing modifiers so they clearly attach to the correct logical subject,Revise Modifier Placement for Clarity,Attach-to-Subject,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-028/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-028/cover.png
sat-rw-029,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",名词单复数、所有格与限定关系,"Noun number, possessive forms, and determiner relationships",Match Determiners to Grammatical Heads,Determiner–Possessive Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-029/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-029/cover.png
sat-rw-030,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",平行结构和句子成分的逻辑一致性,Parallel structure and logical consistency of sentence elements,Revise Parallel Sentence Elements,Parallel Elements Swap,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-030/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-030/cover.png
sat-rw-031,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,根据写作目标筛选笔记中的相关信息,Select notes relevant to a specific writing goal,Select Notes For One Writing Goal,Goal-Filter Note Selection,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-031/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-031/cover.png
sat-rw-032,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,综合多个事实、观点或研究结果,"Synthesize multiple facts, viewpoints, or research findings",Connect Multiple Facts Into One Sentence,Point-and-Link Synthesis,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-032/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-032/cover.png
sat-rw-033,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,完成介绍、概括、比较、强调或举例等写作任务,"Complete a sentence that introduces, summarizes, compares, emphasizes, or provides an example",Match Sentences To Their Rhetorical Role,Role-and-Relation Fit,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-033/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-033/cover.png
sat-rw-034,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,保持信息准确、简洁并符合指定受众,"Keep information accurate, concise, and appropriate for a specified audience",Trim Sentences For Audience And Accuracy,Audience-Trim-and-Target,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-034/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-034/cover.png
sat-rw-035,Reading and Writing,Expression of Ideas,Transitions,递进与补充关系,Additive and Progressive Transitions (signals that add information or show increase),Apply Additive And Progressive Transitions,Add/Progress Fit,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-035/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-035/cover.png
sat-rw-036,Reading and Writing,Expression of Ideas,Transitions,转折、让步与对比关系,"Contrast, Concession, and Comparison Transitions",Match Transitions to Clause Relations,Signal-and-Form Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-036/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-036/cover.png
sat-rw-037,Reading and Writing,Expression of Ideas,Transitions,因果、结果与目的关系,"Cause, result, and purpose relationships","Connect Cause, Result, and Purpose Signals",Signal→Role→Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-037/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-037/cover.png
sat-rw-038,Reading and Writing,Expression of Ideas,Transitions,时间顺序、举例和总结关系,"Recognize transitions that signal time order, examples, or summaries",Decode Transition Words By Role,Signal-Word Scan,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-038/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-038/cover.png
sat-math-001,Math,Algebra,Linear Equations in One Variable,解一元一次方程和含参数方程,"Solve linear equations in one variable, including equations that contain a parameter",Solve One-Variable Linear Equations With Parameters,Isolate-and-Collect,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-001/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-001/cover.png
sat-math-002,Math,Algebra,Linear Equations in One Variable,判断无解、唯一解或无穷多解,"Determine whether a linear equation has no solution, exactly one solution, or infinitely many solutions",Compare Coefficients to Classify Solutions,Compare simplified coefficients-and-constants,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-002/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-002/cover.png
sat-math-003,Math,Algebra,Linear Equations in One Variable,建立并求解线性情境模型,Set up and solve a linear model from a one-variable situation,Translate Situations Into One-Variable Models,Isolate-the-variable Model Build,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-003/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-003/cover.png
sat-math-004,Math,Algebra,Linear Equations in Two Variables,斜截式、点斜式和标准式之间的转换,"Convert between point-slope, slope-intercept, and standard (Ax+By=C) forms",Convert Between Linear Equation Forms,Form-Switch Method,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-004/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-004/cover.png
sat-math-005,Math,Algebra,Linear Equations in Two Variables,根据图像、表格或条件建立直线方程,"Formulate a linear equation from given graph, table, or conditions",Model a Line From Two Conditions,Two-Condition Solve,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-005/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-005/cover.png
sat-math-006,Math,Algebra,Linear Equations in Two Variables,理解斜率、截距和坐标点的意义,"Interpret the meaning of slope, y-intercept, and whether a coordinate point lies on a given line","Interpret Slope, Y-Intercept, and Point Membership",Equation-to-Meaning Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-006/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-006/cover.png
sat-math-007,Math,Algebra,Linear Functions,函数表示法、定义域和值域,Function notation: identifying domain and range from an expression,Determine Domain and Range From Expression,Input‑Output Feasibility,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-007/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-007/cover.png
sat-math-008,Math,Algebra,Linear Functions,变化率、初始值和线性增长模型,"Rate of change, initial value, and linear growth model",Model Linear Growth With Slope-Intercept,Slope-Intercept Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-008/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-008/cover.png
sat-math-009,Math,Algebra,Linear Functions,在方程、图像、表格和情境之间转换,"Translate a linear relationship between equation, table, graph, and context",Translate Linear Relations Across Representations,Two-Point Mapping,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-009/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-009/cover.png
sat-math-010,Math,Algebra,Systems of Two Linear Equations in Two Variables,代入法、消元法和图像法,Use the elimination method to solve a system of two linear equations in two variables,Solve Systems Using Targeted Elimination,Targeted Elimination,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-010/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-010/cover.png
sat-math-011,Math,Algebra,Systems of Two Linear Equations in Two Variables,方程组解的数量及两直线位置关系,Classify a two-equation linear system by number of solutions and relative positions of the two lines,Classify Linear Systems by Coefficient Ratios,Compare-Coefficients Ratio Test,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-011/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-011/cover.png
sat-math-012,Math,Algebra,Systems of Two Linear Equations in Two Variables,建立并解释实际情境中的方程组,Set up and interpret a system of two linear equations from a real situation,Translate Situations Into Two-Equation Systems,Equation-Pair Builder,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-012/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-012/cover.png
sat-math-013,Math,Algebra,Linear Inequalities in One or Two Variables,解一元一次不等式和复合不等式,Solve linear inequalities and compound inequalities in one variable,Solve Compound Linear Inequalities Efficiently,Balance-and-Intersect,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-013/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-013/cover.png
sat-math-014,Math,Algebra,Linear Inequalities in One or Two Variables,在坐标平面表示二元不等式解集,Graph the solution set of a two-variable inequality on the coordinate plane,Graph Two-Variable Inequality Solution Sets,Plug–Compare–Boundary,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-014/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-014/cover.png
sat-math-015,Math,Algebra,Linear Inequalities in One or Two Variables,建立并解释约束条件模型,Formulate and interpret constraint inequalities from problem conditions,Formulate Constraint Inequalities From Resources,Resource-to-Inequality Translation,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-015/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-015/cover.png
sat-math-016,Math,Advanced Math,Equivalent Expressions,展开、合并、因式分解和配方,"Expand, combine like terms, factor, and complete the square for quadratic expressions",Transform Quadratics Into Completed-Square Form,Targeted Quadratic Rewrite,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-016/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-016/cover.png
sat-math-017,Math,Advanced Math,Equivalent Expressions,指数式、根式和分式的等价变形,"Equivalent transformations of exponential, radical, and rational expressions","Transform Exponential, Radical, and Rational Expressions",Exponent Conversion and Canceling,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-017/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-017/cover.png
sat-math-018,Math,Advanced Math,Equivalent Expressions,利用结构重写多项式与有理式,Use algebraic structure to rewrite polynomials and rational expressions,Rewrite Rational Expressions By Factoring,Structure-Factor-and-Cancel,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-018/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-018/cover.png
sat-math-019,Math,Advanced Math,Nonlinear Equations in One Variable,二次方程：因式分解、配方法和求根公式,Solve quadratic equations using the quadratic formula,Solve Quadratics With the Quadratic Formula,Quadratic Formula Routine,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-019/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-019/cover.png
sat-math-020,Math,Advanced Math,Nonlinear Equations in One Variable,绝对值、根式、分式和指数方程,"Equations involving absolute values, radicals, rational expressions, and exponents",Solve Equations With Special Expressions,Isolate–Inverse–Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-020/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-020/cover.png
sat-math-021,Math,Advanced Math,Nonlinear Equations in One Variable,根的个数、增根与解的合理性,"Count roots, detect extraneous roots, and check solution reasonableness",Count Roots And Remove Extraneous Solutions,Domain-Transform-Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-021/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-021/cover.png
sat-math-022,Math,Advanced Math,Systems of Equations in Two Variables,一次函数与非线性函数的交点,Find intersections of a linear function and a nonlinear function,Find Line–Curve Intersection Points,Set-and-Solve by Rearrangement,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-022/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-022/cover.png
sat-math-023,Math,Advanced Math,Systems of Equations in Two Variables,通过代入、消元或图像求解非线性方程组,Solve a nonlinear system of two equations using substitution,Solve Nonlinear Systems by Substitution,Substitution for Nonlinear Systems,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-023/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-023/cover.png
sat-math-024,Math,Advanced Math,Systems of Equations in Two Variables,用交点解释实际情境中的共同条件,Interpret an intersection as the common condition in a real-world two-equation system,Interpret Intersections As Shared Conditions,Set-Equal-and-Verify,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-024/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-024/cover.png
sat-math-025,Math,Advanced Math,Nonlinear Functions,二次、指数、多项式、分式和根式函数,"Classify nonlinear functions by algebraic form (quadratic, exponential, polynomial, rational, radical)",Classify Nonlinear Functions by Form,Form-Based Identification,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-025/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-025/cover.png
sat-math-026,Math,Advanced Math,Nonlinear Functions,零点、截距、顶点、最大值和最小值,"Identify zeros, intercepts, vertex, and maximum/minimum of a nonlinear function from its equation",Identify Nonlinear Function Features From Equations,Feature-From-Form,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-026/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-026/cover.png
sat-math-027,Math,Advanced Math,Nonlinear Functions,函数平移、伸缩、反射与参数影响,"How parameters cause horizontal/vertical shifts, stretches/compressions, and reflections of a function",Interpret Function Transformations Stepwise,Outer-Inner Parameter Read,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-027/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-027/cover.png
sat-math-028,Math,Advanced Math,Nonlinear Functions,根据图像、表格或情境建立非线性模型,"Build a nonlinear model from a graph, table, or scenario",Build Nonlinear Models From Data,Ratio Test Fit,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-028/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-028/cover.png
sat-math-029,Math,Problem-Solving and Data Analysis,"Ratios, Rates, Proportional Relationships, and Units",比、单位率、正比例与比例尺,"Ratios, unit rates, direct proportional relationships, and scale",Transform Measurements With Scale Factors,Scale-Factor Multiply,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-029/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-029/cover.png
sat-math-030,Math,Problem-Solving and Data Analysis,"Ratios, Rates, Proportional Relationships, and Units",单位换算、复合单位与量纲分析,"Unit conversions, compound units, and dimensional analysis",Convert Compound Units With Dimensional Checks,Align-and-Cancel Dimensional Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-030/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-030/cover.png
sat-math-031,Math,Problem-Solving and Data Analysis,"Ratios, Rates, Proportional Relationships, and Units",速度、密度、单价等现实模型,"Modeling real-world rates: speed, density, and unit price",Model Real-World Rates With Units,Build-and-Use Rate Model,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-031/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-031/cover.png
sat-math-032,Math,Problem-Solving and Data Analysis,Percentages,百分比、百分比变化和百分位比较,"Percentages, percent change, and comparing percents",Compare Percentages Using Common Baselines,Convert-Compare-Anchor,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-032/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-032/cover.png
sat-math-033,Math,Problem-Solving and Data Analysis,Percentages,折扣、税率、利率和增长衰减情境,"Applying percentage rates in context: discounts, taxes, interest, and growth/decay",Model Percentage Changes With Factor Chaining,Percent-Factor Chaining,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-033/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-math-033/cover.png
